epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
118;7633.920;7633.920;7944.549;8014.830;7901.486;8014.830;111.120;17.586;32.443;.000;.000
119;7633.920;7633.920;7944.549;8014.830;7899.717;8014.830;112.103;14.221;29.603;.000;.000
120;7633.920;7633.920;7942.070;7966.378;7889.124;7966.378;104.279;14.000;29.198;.000;.000
121;7629.625;7629.625;7942.070;7966.378;7888.694;7966.378;105.450;16.897;30.423;.000;.000
122;7629.625;7629.625;7935.838;7966.378;7880.867;7966.378;104.755;16.574;29.665;.000;.000
123;7629.625;7629.625;7935.838;7966.378;7878.693;7966.378;106.010;15.169;28.990;.000;.000
124;7629.625;7629.625;7935.838;7966.378;7878.693;7966.378;106.010;15.544;30.776;.000;.000
125;7629.625;7629.625;7928.691;7966.378;7875.627;7966.378;104.607;15.417;30.464;.000;.000
126;7629.625;7629.625;7928.691;7966.378;7875.627;7966.378;104.607;14.885;28.748;.000;.000
127;7629.625;7629.625;7928.691;7966.378;7875.627;7966.378;104.607;15.711;27.215;.000;.000
128;7629.625;7629.625;7928.691;7966.378;7875.627;7966.378;104.607;16.468;27.965;.000;.000
129;7629.625;7629.625;7928.691;7966.378;7873.101;7966.378;106.705;16.012;26.718;.000;.000
130;7629.625;7629.625;7928.691;7966.378;7873.101;7966.378;106.705;15.547;31.296;.000;.000
131;7629.625;7629.625;7928.691;7966.378;7873.101;7966.378;106.705;14.701;30.146;.000;.000
132;7629.625;7629.625;7928.691;7966.378;7873.101;7966.378;106.705;16.495;28.250;.000;.000
133;7629.625;7629.625;7928.691;7966.378;7871.835;7966.378;105.867;15.858;27.998;.000;.000
134;7629.625;7629.625;7928.691;7966.378;7871.835;7966.378;105.867;14.341;27.971;.000;.000
135;7629.625;7629.625;7928.691;7966.378;7870.000;7966.378;106.397;16.708;31.063;.000;.000
136;7629.625;7629.625;7928.691;7966.378;7868.485;7966.378;105.948;17.527;29.791;.000;.000
137;7629.625;7629.625;7928.691;7966.378;7867.275;7966.378;105.743;18.988;29.335;.000;.000
138;7629.625;7629.625;7887.327;7966.378;7863.067;7966.378;103.816;17.529;30.979;.000;.000
139;7629.625;7629.625;7887.327;7966.378;7863.067;7966.378;103.816;14.243;30.225;.000;.000
140;7629.625;7629.625;7887.327;7966.378;7861.560;7966.378;105.211;15.331;27.018;.000;.000
141;7629.625;7629.625;7887.327;7966.378;7861.560;7966.378;105.211;14.868;25.096;.000;.000
142;7629.625;7629.625;7877.913;7966.378;7851.063;7966.378;107.565;16.368;27.586;.000;.000
143;7629.625;7629.625;7877.913;7964.782;7849.542;7964.782;105.847;18.613;28.888;.000;.000
144;7629.625;7629.625;7877.913;7964.782;7849.542;7964.782;105.847;14.076;28.815;.000;.000
145;7629.625;7629.625;7877.913;7964.782;7845.742;7964.782;102.420;14.632;26.536;.000;.000
146;7629.625;7629.625;7877.913;7964.782;7845.366;7964.782;102.088;16.853;24.998;.000;.000
147;7629.625;7629.625;7877.913;7964.782;7845.366;7964.782;102.088;15.657;28.008;.000;.000
148;7629.625;7629.625;7877.913;7964.782;7844.677;7964.782;101.363;15.096;25.745;.000;.000
149;7629.625;7629.625;7877.913;7964.782;7844.677;7964.782;101.363;16.007;25.848;.000;.000
150;7629.625;7629.625;7877.913;7964.782;7844.677;7964.782;101.363;16.015;26.381;.000;.000
151;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;18.137;25.249;.000;.000
152;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;16.331;26.100;.000;.000
153;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;13.255;24.515;.000;.000
154;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;16.184;24.699;.000;.000
155;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;14.304;26.795;.000;.000
156;7629.625;7629.625;7861.008;7964.782;7839.461;7964.782;98.755;13.576;26.863;.000;.000
157;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;14.451;27.421;.000;.000
158;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;15.409;28.253;.000;.000
159;7629.625;7629.625;7845.187;7964.782;7837.879;7964.782;98.498;14.966;26.685;.000;.000
